"pays";"2019";"2020"
"France";168729932;43073815
"Spain";227189012;49974092
"Portugal";55007894;13814376
"Italy";160667939;21924825
"Greece";56088527;5048832
"Macedonia";2353327;662382
"Montenegro";2652801;441398
"Serbia";6450643;1622470
"Croatia";10623239;1919100
"Slovenia";1719039;287787
"Austria";35644188;9168431
"Switzerland";57194328;14137477
"Czech Rep.";18832696;3821372
"Germany";226764086;57795978
"Luxembourg";4365569;1426310
"Belgium";35385188;9003073
"Netherlands";81192507;23594783
"Denmark";34780127;7695294
"United Kingdom";277432380;64489423
"Ireland";37947510;7512162
"Lithuania";6504685;1632659
"Latvia";7785726;1799914
"Estonia";3258003;767646
"Finland";23287929;5428211
"Sweden";37614259;6086506
"Norway";40348437;13216883
"Romania";21546204;5681727
"Bulgaria";11713068;3729017
"Slovakia";2839787;500604
